subSubName,mainMenuName,title,url,price,description
"област Велико Търново",Работа,"Магазин за плодове и зеленчуци търси продавачка",https://www.alo.bg/9156008,,"София, Студентски град, магазин за плодове и зеленчуци търси продавачка, може и без опит. При нужда предлага безплатна квартира. Стартова заплата - 2 900 лв. + бонуси За повече информация, обадете се на посочения телефон за контакти"
"област Велико Търново",Работа,"Предлагаме работа за международни шофьори, вътрешно в Европа, фиксирана линия",https://www.alo.bg/8605948,,"Международен Шофьор Предлагаме работа за международни шофьори, вътрешно в Европа: Фиксирана линия DHL Regensburg Германия-Австрия-Германия BDF Контейнери. (хенгер, двойно-чупене) ИЗИСКВАНИЯ: Опит като международен шофьор - желателно Категория ”C+Е” Професионална компетентност Валидно свидетелство за психологическа годност Карта за дигитален тахограф Биография Умения за работа с телефон Ние предлагаме: Месечно възнаграждение от 3000 до 3300 евро/нето. Заплащане на всяка трета седмица. Български договор и осигуровки. Kамиони VOLVO, MAN, Mercedes EURO 6 (хенгер, шейтан, двой.."
"област Велико Търново",Работа,"Дистанционна работа - създаване на нови CRM акаунти",https://www.alo.bg/9150275,,"Търсят се служители в компанията CRM Kraft :)🚨 Спешно търсим нов служител за следните дейности: - Включване на клиенти и създаване на нови акаунти Вие настройвате CRM системата за клиенти въз основа на шаблон и създавате нови CRM потребители. Вие сте подходящи, ако следните неща се отнасят за вас🤝: - 1️⃣имате поне 10 часа седмично 🕖 - 2️⃣Вие НЯМАТЕ постоянна работа на пълен работен ден и следователно имате гъвкав график и можете да вършите нещата бързо - 3️⃣Можете да си представите да работите на пълен работен ден в дългосрочен план (т.е. да увеличите до 30-40 часа седмично.."
"област Велико Търново",Работа,"Контролинг на продажбите - Дистанционна работа",https://www.alo.bg/9131549,,"Търсят се служители в компанията CRM Kraft :)🚨 Спешно търсим нов служител за следните дейности: - Контрол на продажбите Вие проверявате точността на продажбите и маркетинговите плащания, извършвате оценки и по този начин насърчавате рентабилността на компанията. Вие сте подходящи, ако следните неща се отнасят за вас🤝: - 1️⃣имате поне 20 часа седмично 🕖 - 2️⃣Имате време между 9 и 12ч. - 3️⃣Можете да си представите да извършвате контрол на продажбите в дългосрочен план (т.е. да увеличите до 30-40 часа седмично за 1-2 месеца) - 4️⃣ Вие сте много надеждни и точни - 5️⃣Го.."
"област Велико Търново",Работа,"Поддръжка къмпинг",https://www.alo.bg/8740683,,"Търся спешно отговорен и физически здрав човек за поддръжка на къмпинг. Работата е свързана с поддръжка на терените- косене на трева, прекопаване на дръвчета, торене, почистване, контрол на достъпа на хора, леки ремонтни дейности. През зимата заплатата е 1300лв., а през пролетта и лятото се повишава в зависимост от поетите отговорности. Необходимо е да имате умения за боравене с градинска техника като: тример, бензинова косачка, пръскачка, както и познания за леки ремонти по ЕЛ. и ВиК. Задължително е притежаването на валидна шофьорска книжка кат. В, защото се налага във връзка с работата изп.."
"област Велико Търново",Работа,"Търсим строителни работници",https://www.alo.bg/9123448,,"Строителна фирма в гр. София с дългогодишен опит търси да назначи на постоянен трудов договор строителни работници. Извършваме всякакъв вид СМР- Ел. ВиК, къртене, мазане, топло и хидро изолации, фаянс, гипсокартон, шпакловки, боядисване и други. Работно време: от 08,00ч. до 17,00ч. Неделя: почивен ден Обектите ни се намират в София. Възможност за започване веднага. Атрактивно и редовно заплащане!"
"област Велико Търново",Работа,"Наемаме каменоделец",https://www.alo.bg/9072935,,"Наема каменоделец от бг етнос. Държим на ПЕРФЕКТНО качество. Суха зидария къщи, комини, камини и други. Опит мин. 10г. Дялан камък -гранит /зидане /комини /шапки/ и др Баня, под и др външни настилки - редене гранит камък/рисунак Градина -стъпала, плотове, мивки и др камък елементи Всичко се реже, изчуква на място на ръка ИЗКЛЮЧИТЕЛНО прецизно като на снимки. На снимките е изобразено какво правим и какво качество се изисква. Заплащане от 100-200лв на кв.м. според височина. Осигурено спане и храна на обект. Очакваме ваши завършени работи(снимки) на посочения и-мейл."
"област Велико Търново",Работа,"Продавач - Консултант - Супермаркет!",https://www.alo.bg/8392934,,"Призма ООД гр. Приморско търси да назначи продавач-консултанти за хранителни магазини. Работата е целогодишна/сезонна с осигурена квартира и обяд, и добро заплащане. За повече информация - моля .."
"област Велико Търново",Работа,"Голяма българска логистична компания търси да назначи опитни и квалифицирани складови работници",https://www.alo.bg/9123000,,"ГОЛЯМА БЪЛГАРСКА ЛОГИСТИЧНА КОМПАНИЯ ТЪРСИ ДА НАЗНАЧИ ОПИТНИ И КВАЛИФИЦИРАНИ СКЛАДОВИ РАБОТНИЦИ за работа в Логистични центрове в гр. София в кв. Люлин и кв. Хаджи Димитър. 1. ПОЗИЦИИ: .."
"област Велико Търново",Работа,"Служител Поддръжка сграда и ремонтна дейност",https://www.alo.bg/9146057,,"Хотел ”Мартинез”, гр. Созопол, търси да назначи: СЛУЖИТЕЛ ПОДДРЪЖКА СГРАДА И РЕМОНТНА ДЕЙНОСТ ОСНОВНИ ДЕЙНОСТИ И ОТГОВОРНОСТИ - Поддържа в изправност поверените му съоръжения в комплекса. - .."
"област Велико Търново",Работа,"Търсим хигиенистка, предлагаме квартира",https://www.alo.bg/9041363,,"Пет дневна работна седмица, 8 часов работен ден, начало на работния ден по договаряне. Почистване на офиси и общи части /коридори, санитарни възли, прилежащи части/ в бизнес сграда. Предлагаме ква.."
"област Велико Търново",Работа,"Международен шофьор - хладилник / титуляр на един камион",https://www.alo.bg/5154738,,"КУУЛТРАНС ООД предлага работа на международни шофьори с опит и квалификация на хладилно ремарке по следните релации: - Гърция - Европа - Гърция - Гърция - Западна Европа - Англия - Гърция Необ.."
"област Велико Търново",Работа,"Доставчик на храна с личен автомобил или мотопед",https://www.alo.bg/8268862,,"Какво предлагаме: 👉 Управлявай сам работното си време 👉 Страхотно възнаграждение, обвързано с постигнати резултати до 12лв. на час. 👉 Седмично заплащане. 👉 Трудов договор. 👉 Вътрешно обучение.."
"област Велико Търново",Работа,"Набираме охранители",https://www.alo.bg/9086276,,"Набираме охранители за множество обекти в района на гр. София -Предлагаме добро заплащане -Работа по предварително утвърден график -Приятно и поддържано работно място -Трудов договор и включени ос.."
"област Велико Търново",Работа,"Ръководител с български език",https://www.alo.bg/9086913,,"Добър ден! Търсим отговорен супервайзер, който да наблюдава работния процес в нашите съоръжения. Ролята е сложна. Той няма да бъде просто някой, който контролира работата на другите. Супервайзор.."
"област Велико Търново",Работа,"Доставчик на храна по домовете с личен автомобил",https://www.alo.bg/8268867,,"Какво предлагаме: 👉 Управлявай сам работното си време 👉 Страхотно възнаграждение, обвързано с постигнати резултати до 12лв. на час. 👉 Седмично заплащане. 👉 Трудов договор. 👉 Вътрешно обучение.."
"област Велико Търново",Работа,"Дистрибутор - шофьор",https://www.alo.bg/9163056,,"Търсим динамични и ентусиазирани служители. Условия на работа: Работя за доставка на хляб и тестени изделия в град Търговище. Скалдова база село Ресен Работно време от 04:00ч - 12:00ч Тръгване.."
"област Велико Търново",Работа,"Гримьор, Маникюрист, Козметик",https://www.alo.bg/9051728,,"Предлагам три работни места (необорудвани) за Гримьор, Маникюрист и Козметик"
"област Велико Търново",Работа,"Помощник във пункт за технически прегледи",https://www.alo.bg/9136556,,"”Автокомплекс Илинден” търси да назначи техник, на пункт за годишни технически прегледи на постоянен договор. Изисквания: -Шофьорска книжка, мин. кат.B -Добра комуникативност -Желание за дъл.."
"област Велико Търново",Работа,"Търси социален асистент",https://www.alo.bg/9161681,,"Публикувано от ”Бюро по труда”: [ ДБТ - Велико Търново ] Място на работата: Насeлено място към общ. Велико Търново, обл. Велико Търново Наименование на длъжността: 5322-1003 - Социален асистент Осн.."
"област Велико Търново",Работа,"Търси психолог, училищен",https://www.alo.bg/9161611,,"Публикувано от ”Бюро по труда”: [ ДБТ - Велико Търново ] Място на работата: Насeлено място към общ. Велико Търново, обл. Велико Търново Наименование на длъжността: 2634-6003 - Психолог, училищен Ос.."
"област Велико Търново",Работа,"Търси социален работник",https://www.alo.bg/9161578,,"Публикувано от ”Бюро по труда”: [ ДБТ - Горна Оряховица ] Място на работата: Насeлено място към общ. Стражица, обл. Велико Търново Наименование на длъжността: 2635-6003 - Социален работник Основни .."
"област Велико Търново",Работа,"Майстор за закуски",https://www.alo.bg/8737988,,"Търсим майстор на закуски и баници за производство по определена рецепта. Отлично заплащане, възможност за гъвкаво работно време."
"област Велико Търново",Работа,"Търси учител, общообразователен учебен предмет в гимназиален етап",https://www.alo.bg/9159348,,"Публикувано от ”Бюро по труда”: [ ДБТ - Велико Търново ] Място на работата: Насeлено място към общ. Велико Търново, обл. Велико Търново Наименование на длъжността: 2330-5005 - Учител, общообразовате.."
"област Велико Търново",Работа,"Търси санитар",https://www.alo.bg/9159345,,"Публикувано от ”Бюро по труда”: [ ДБТ - Велико Търново ] Място на работата: Насeлено място към общ. Велико Търново, обл. Велико Търново Наименование на длъжността: 5321-1002 - Санитар Основни отгов.."
"област Велико Търново",Работа,"Търси общ работник, промишлеността",https://www.alo.bg/9159203,,"Публикувано от ”Бюро по труда”: [ ДБТ - Велико Търново ] Място на работата: Насeлено място към общ. Велико Търново, обл. Велико Търново Наименование на длъжността: 9329-0018 - Общ работник, промишле.."
"област Велико Търново",Работа,"Търси водач, мотокар",https://www.alo.bg/9159202,,"Публикувано от ”Бюро по труда”: [ ДБТ - Велико Търново ] Място на работата: Насeлено място към общ. Велико Търново, обл. Велико Търново Наименование на длъжността: 8344-2004 - Водач, мотокар Основн.."
"област Велико Търново",Работа,"Търси техник, електрообзавеждане на промишлени предприятия",https://www.alo.bg/9159196,,"Публикувано от ”Бюро по труда”: [ ДБТ - Велико Търново ] Място на работата: Насeлено място към общ. Велико Търново, обл. Велико Търново Наименование на длъжността: 3113-3011 - Техник, електрообзавеж.."
"област Велико Търново",Работа,"Тракийска Баница Овча Купел",https://www.alo.bg/9158528,,"Баничарница от веригата Тракийска баница в подлеза на метростанция Мизия търси да назначи пекари и касиери на постоянен трудов договор и конкурентно за бранша възнаграждение"
"област Велико Търново",Работа,"Търси шофьор, товарен автомобил (международни превози)",https://www.alo.bg/9156741,,"Публикувано от ”Бюро по труда”: [ ДБТ - Велико Търново ] Място на работата: Насeлено място към общ. Велико Търново, обл. Велико Търново Наименование на длъжността: 8332-2006 - Шофьор, товарен автомо.."
"област Монтана",Работа,"Магазин за плодове и зеленчуци търси продавачка",https://www.alo.bg/9156008,,"София, Студентски град, магазин за плодове и зеленчуци търси продавачка, може и без опит. При нужда предлага безплатна квартира. Стартова заплата - 2 900 лв. + бонуси За повече информация, обадете се на посочения телефон за контакти"
"област Монтана",Работа,"Предлагаме работа за международни шофьори, вътрешно в Европа, фиксирана линия",https://www.alo.bg/8605948,,"Международен Шофьор Предлагаме работа за международни шофьори, вътрешно в Европа: Фиксирана линия DHL Regensburg Германия-Австрия-Германия BDF Контейнери. (хенгер, двойно-чупене) ИЗИСКВАНИЯ: Опит като международен шофьор - желателно Категория ”C+Е” Професионална компетентност Валидно свидетелство за психологическа годност Карта за дигитален тахограф Биография Умения за работа с телефон Ние предлагаме: Месечно възнаграждение от 3000 до 3300 евро/нето. Заплащане на всяка трета седмица. Български договор и осигуровки. Kамиони VOLVO, MAN, Mercedes EURO 6 (хенгер, шейтан, двой.."
"област Монтана",Работа,"Дистанционна работа - създаване на нови CRM акаунти",https://www.alo.bg/9150275,,"Търсят се служители в компанията CRM Kraft :)🚨 Спешно търсим нов служител за следните дейности: - Включване на клиенти и създаване на нови акаунти Вие настройвате CRM системата за клиенти въз основа на шаблон и създавате нови CRM потребители. Вие сте подходящи, ако следните неща се отнасят за вас🤝: - 1️⃣имате поне 10 часа седмично 🕖 - 2️⃣Вие НЯМАТЕ постоянна работа на пълен работен ден и следователно имате гъвкав график и можете да вършите нещата бързо - 3️⃣Можете да си представите да работите на пълен работен ден в дългосрочен план (т.е. да увеличите до 30-40 часа седмично.."
"област Монтана",Работа,"Контролинг на продажбите - Дистанционна работа",https://www.alo.bg/9131549,,"Търсят се служители в компанията CRM Kraft :)🚨 Спешно търсим нов служител за следните дейности: - Контрол на продажбите Вие проверявате точността на продажбите и маркетинговите плащания, извършвате оценки и по този начин насърчавате рентабилността на компанията. Вие сте подходящи, ако следните неща се отнасят за вас🤝: - 1️⃣имате поне 20 часа седмично 🕖 - 2️⃣Имате време между 9 и 12ч. - 3️⃣Можете да си представите да извършвате контрол на продажбите в дългосрочен план (т.е. да увеличите до 30-40 часа седмично за 1-2 месеца) - 4️⃣ Вие сте много надеждни и точни - 5️⃣Го.."
"област Монтана",Работа,"Поддръжка къмпинг",https://www.alo.bg/8740683,,"Търся спешно отговорен и физически здрав човек за поддръжка на къмпинг. Работата е свързана с поддръжка на терените- косене на трева, прекопаване на дръвчета, торене, почистване, контрол на достъпа на хора, леки ремонтни дейности. През зимата заплатата е 1300лв., а през пролетта и лятото се повишава в зависимост от поетите отговорности. Необходимо е да имате умения за боравене с градинска техника като: тример, бензинова косачка, пръскачка, както и познания за леки ремонти по ЕЛ. и ВиК. Задължително е притежаването на валидна шофьорска книжка кат. В, защото се налага във връзка с работата изп.."
"област Монтана",Работа,"Търсим строителни работници",https://www.alo.bg/9123448,,"Строителна фирма в гр. София с дългогодишен опит търси да назначи на постоянен трудов договор строителни работници. Извършваме всякакъв вид СМР- Ел. ВиК, къртене, мазане, топло и хидро изолации, фаянс, гипсокартон, шпакловки, боядисване и други. Работно време: от 08,00ч. до 17,00ч. Неделя: почивен ден Обектите ни се намират в София. Възможност за започване веднага. Атрактивно и редовно заплащане!"
"област Монтана",Работа,"Наемаме каменоделец",https://www.alo.bg/9072935,,"Наема каменоделец от бг етнос. Държим на ПЕРФЕКТНО качество. Суха зидария къщи, комини, камини и други. Опит мин. 10г. Дялан камък -гранит /зидане /комини /шапки/ и др Баня, под и др външни настилки - редене гранит камък/рисунак Градина -стъпала, плотове, мивки и др камък елементи Всичко се реже, изчуква на място на ръка ИЗКЛЮЧИТЕЛНО прецизно като на снимки. На снимките е изобразено какво правим и какво качество се изисква. Заплащане от 100-200лв на кв.м. според височина. Осигурено спане и храна на обект. Очакваме ваши завършени работи(снимки) на посочения и-мейл."
"област Монтана",Работа,"Продавач - Консултант - Супермаркет!",https://www.alo.bg/8392934,,"Призма ООД гр. Приморско търси да назначи продавач-консултанти за хранителни магазини. Работата е целогодишна/сезонна с осигурена квартира и обяд, и добро заплащане. За повече информация - моля .."
"област Монтана",Работа,"Голяма българска логистична компания търси да назначи опитни и квалифицирани складови работници",https://www.alo.bg/9123000,,"ГОЛЯМА БЪЛГАРСКА ЛОГИСТИЧНА КОМПАНИЯ ТЪРСИ ДА НАЗНАЧИ ОПИТНИ И КВАЛИФИЦИРАНИ СКЛАДОВИ РАБОТНИЦИ за работа в Логистични центрове в гр. София в кв. Люлин и кв. Хаджи Димитър. 1. ПОЗИЦИИ: .."
"област Монтана",Работа,"Служител Поддръжка сграда и ремонтна дейност",https://www.alo.bg/9146057,,"Хотел ”Мартинез”, гр. Созопол, търси да назначи: СЛУЖИТЕЛ ПОДДРЪЖКА СГРАДА И РЕМОНТНА ДЕЙНОСТ ОСНОВНИ ДЕЙНОСТИ И ОТГОВОРНОСТИ - Поддържа в изправност поверените му съоръжения в комплекса. - .."
